Loan_ID,Gender,Married,Education,Self_Employed,Credit_History,Property_Area,Loan_Status
LP001250,Male,Yes,Not Graduate,No,0,Semiurban,N
LP001253,Male,Yes,Graduate,Yes,1,Semiurban,Y
LP001255,Male,No,Graduate,No,1,Urban,N
LP001256,Male,No,Graduate,No,1,Urban,N
LP001259,Male,Yes,Graduate,Yes,1,Urban,N
LP001263,Male,Yes,Graduate,No,0,Semiurban,N
LP001264,Male,Yes,Not Graduate,Yes,,Semiurban,Y
LP001265,Female,No,Graduate,No,1,Semiurban,Y
LP001266,Male,Yes,Graduate,Yes,1,Semiurban,Y
LP001267,Female,Yes,Graduate,No,1,Urban,N
LP001273,Male,Yes,Graduate,No,,Semiurban,N
LP001275,Male,Yes,Graduate,No,1,Urban,Y
LP001279,Male,No,Graduate,No,1,Semiurban,Y
LP001280,Male,Yes,Not Graduate,No,,Semiurban,Y
LP001282,Male,Yes,Graduate,No,1,Semiurban,Y
LP001289,Male,No,Graduate,No,1,Urban,Y
LP001310,Male,Yes,Graduate,No,1,Semiurban,Y
LP001316,Male,Yes,Graduate,No,1,Semiurban,Y
LP001318,Male,Yes,Graduate,No,1,Semiurban,Y
LP001319,Male,Yes,Not Graduate,No,1,Urban,Y
LP001322,Male,No,Graduate,No,1,Semiurban,Y
LP001325,Male,No,Not Graduate,No,1,Semiurban,Y
LP001326,Male,No,Graduate,,,Urban,N
LP001327,Female,Yes,Graduate,No,1,Semiurban,Y
LP001333,Male,Yes,Graduate,No,1,Semiurban,Y
LP001334,Male,Yes,Not Graduate,No,1,Semiurban,Y
LP001343,Male,Yes,Graduate,No,1,Semiurban,Y
LP001345,Male,Yes,Not Graduate,No,1,Urban,Y
LP001349,Male,No,Graduate,No,1,Semiurban,Y
LP001350,Male,Yes,Graduate,No,1,Urban,Y
LP001356,Male,Yes,Graduate,No,1,Semiurban,Y
LP001357,Male,,Graduate,No,1,Urban,Y
LP001367,Male,Yes,Graduate,No,1,Urban,Y
LP001369,Male,Yes,Graduate,No,1,Urban,Y
LP001370,Male,No,Not Graduate,,1,Rural,N
LP001379,Male,Yes,Graduate,No,0,Urban,N
LP001384,Male,Yes,Not Graduate,No,1,Semiurban,Y
LP001385,Male,No,Graduate,No,1,Urban,Y
LP001387,Female,Yes,Graduate,,1,Semiurban,Y
LP001391,Male,Yes,Not Graduate,No,0,Rural,N
LP001392,Female,No,Graduate,Yes,1,Semiurban,Y
LP001398,Male,No,Graduate,,1,Semiurban,Y
LP001401,Male,Yes,Graduate,No,1,Rural,Y
LP001404,Female,Yes,Graduate,No,1,Semiurban,Y
LP001405,Male,Yes,Graduate,No,,Urban,Y
LP001421,Male,Yes,Graduate,No,1,Rural,N
LP001422,Female,No,Graduate,No,1,Urban,Y
LP001426,Male,Yes,Graduate,No,1,Rural,Y
LP001430,Female,No,Graduate,No,1,Semiurban,Y
LP001431,Female,No,Graduate,No,0,Semiurban,Y
LP001432,Male,Yes,Graduate,No,1,Semiurban,Y
LP001439,Male,Yes,Not Graduate,No,1,Rural,Y
LP001443,Female,No,Graduate,No,,Rural,Y
LP001448,,Yes,Graduate,No,1,Rural,Y
LP001449,Male,No,Graduate,No,1,Rural,Y
LP001451,Male,Yes,Graduate,Yes,0,Urban,N
LP001465,Male,Yes,Graduate,No,,Rural,N
LP001469,Male,No,Graduate,Yes,,Urban,Y
LP001473,Male,No,Graduate,No,1,Urban,Y
LP001478,Male,No,Graduate,No,1,Semiurban,Y
LP001482,Male,Yes,Graduate,Yes,1,Semiurban,Y
LP001487,Male,No,Graduate,No,1,Semiurban,Y
LP001488,Male,Yes,Graduate,No,1,Semiurban,N
LP001489,Female,Yes,Graduate,No,1,Rural,N
LP001491,Male,Yes,Graduate,Yes,1,Urban,Y
LP001492,Male,No,Graduate,No,0,Semiurban,N
LP001493,Male,Yes,Not Graduate,No,1,Rural,N
LP001497,Male,Yes,Graduate,No,1,Rural,N
LP001498,Male,No,Graduate,No,1,Urban,Y
LP001504,Male,No,Graduate,Yes,1,Semiurban,Y
LP001507,Male,Yes,Graduate,No,1,Semiurban,Y
LP001508,Male,Yes,Graduate,No,1,Urban,Y
LP001514,Female,Yes,Graduate,No,1,Semiurban,Y
LP001516,Female,Yes,Graduate,No,1,Urban,Y
LP001518,Male,Yes,Graduate,No,1,Urban,Y
LP001519,Female,No,Graduate,No,1,Rural,N
LP001520,Male,Yes,Graduate,No,1,Semiurban,Y
LP001528,Male,No,Graduate,No,0,Rural,N
LP001529,Male,Yes,Graduate,Yes,1,Rural,Y
LP001531,Male,No,Graduate,No,1,Urban,N
LP001532,Male,Yes,Not Graduate,No,1,Rural,N
LP001535,Male,No,Graduate,No,1,Urban,Y
LP001536,Male,Yes,Graduate,No,0,Semiurban,Y
LP001541,Male,Yes,Graduate,No,,Rural,Y
LP001543,Male,Yes,Graduate,No,1,Urban,Y
LP001546,Male,No,Graduate,,1,Rural,Y
LP001552,Male,Yes,Graduate,No,1,Semiurban,Y
LP001560,Male,Yes,Not Graduate,No,1,Semiurban,Y
LP001562,Male,Yes,Graduate,No,1,Urban,N
LP001565,Male,Yes,Graduate,No,0,Semiurban,N
LP001570,Male,Yes,Graduate,No,1,Rural,Y
LP001572,Male,Yes,Graduate,No,1,Urban,Y
LP001574,Male,Yes,Graduate,No,1,Rural,Y
LP001577,Female,Yes,Graduate,No,1,Rural,N
LP001578,Male,Yes,Graduate,No,1,Rural,Y
LP001579,Male,No,Graduate,No,0,Semiurban,N
LP001580,Male,Yes,Graduate,No,1,Semiurban,Y
LP001581,Male,Yes,Not Graduate,,1,Rural,Y
LP001585,,Yes,Graduate,No,1,Urban,Y
LP001586,Male,Yes,Not Graduate,No,1,Rural,N
LP001594,Male,Yes,Graduate,No,1,Semiurban,Y
LP001603,Male,Yes,Not Graduate,Yes,1,Semiurban,N
LP001606,Male,Yes,Graduate,No,1,Rural,Y
LP001608,Male,Yes,Graduate,No,1,Rural,Y
LP001610,Male,Yes,Graduate,No,0,Semiurban,N
LP001616,Male,Yes,Graduate,No,1,Semiurban,Y
LP001630,Male,No,Not Graduate,No,0,Urban,N
LP001633,Male,Yes,Graduate,No,0,Urban,N
LP001634,Male,No,Graduate,No,,Rural,N
LP001636,Male,Yes,Graduate,No,1,Semiurban,Y
LP001637,Male,Yes,Graduate,No,1,Semiurban,N
LP001639,Female,Yes,Graduate,No,1,Semiurban,Y
LP001640,Male,Yes,Graduate,Yes,1,Semiurban,Y
LP001641,Male,Yes,Graduate,Yes,0,Rural,N
LP001643,Male,Yes,Graduate,No,,Rural,Y
LP001644,,Yes,Graduate,Yes,1,Rural,Y
LP001647,Male,Yes,Graduate,No,1,Rural,Y
LP001653,Male,No,Not Graduate,No,1,Rural,Y
LP001656,Male,No,Graduate,No,1,Semiurban,N
LP001657,Male,Yes,Not Graduate,No,1,Urban,N
LP001658,Male,No,Graduate,No,1,Semiurban,Y
LP001664,Male,No,Graduate,No,1,Rural,Y
LP001665,Male,Yes,Graduate,No,1,Semiurban,N
LP001666,Male,No,Graduate,No,1,Rural,Y
LP001669,Female,No,Not Graduate,No,1,Urban,Y
LP001671,Female,Yes,Graduate,No,,Semiurban,Y
LP001673,Male,No,Graduate,Yes,1,Urban,N
LP001674,Male,Yes,Not Graduate,No,1,Semiurban,Y
LP001677,Male,No,Graduate,No,0,Semiurban,Y
LP001682,Male,Yes,Not Graduate,No,1,Urban,N
LP001688,Male,Yes,Not Graduate,No,1,Urban,Y
LP001691,Male,Yes,Not Graduate,No,1,Semiurban,Y
LP001692,Female,No,Not Graduate,No,1,Semiurban,Y
LP001693,Female,No,Graduate,No,1,Urban,Y
LP001698,Male,No,Not Graduate,No,1,Rural,Y
LP001699,Male,No,Graduate,No,1,Urban,Y
LP001702,Male,No,Graduate,No,1,Semiurban,N
LP001708,Female,No,Graduate,No,1,Semiurban,N
LP001711,Male,Yes,Graduate,No,0,Semiurban,N
LP001713,Male,Yes,Graduate,Yes,1,Urban,Y
LP001715,Male,Yes,Not Graduate,Yes,1,Rural,Y
LP001716,Male,Yes,Graduate,No,1,Urban,Y
LP001720,Male,Yes,Not Graduate,No,1,Semiurban,Y
LP001722,Male,Yes,Graduate,No,1,Rural,N
LP001726,Male,Yes,Graduate,No,1,Semiurban,Y
LP001732,Male,Yes,Graduate,,0,Semiurban,N
LP001734,Female,Yes,Graduate,No,,Semiurban,Y
LP001736,Male,Yes,Graduate,No,0,Urban,N
LP001743,Male,Yes,Graduate,No,1,Semiurban,Y
LP001744,Male,No,Graduate,No,1,Semiurban,Y
LP001749,Male,Yes,Graduate,No,1,Semiurban,Y
LP001750,Male,Yes,Graduate,No,1,Semiurban,Y
LP001751,Male,Yes,Graduate,No,1,Rural,N
LP001754,Male,Yes,Not Graduate,Yes,1,Urban,N
LP001758,Male,Yes,Graduate,No,1,Semiurban,Y
LP001760,Male,,Graduate,No,1,Semiurban,Y
LP001761,Male,No,Graduate,Yes,1,Rural,Y
LP001765,Male,Yes,Graduate,No,1,Semiurban,Y
LP001768,Male,Yes,Graduate,,1,Rural,Y
LP001770,Male,No,Not Graduate,No,1,Rural,Y
LP001776,Female,No,Graduate,No,1,Semiurban,Y
LP001778,Male,Yes,Graduate,No,1,Semiurban,Y
LP001784,Male,Yes,Graduate,No,1,Rural,Y
LP001786,Male,Yes,Graduate,,,Urban,N
LP001788,Female,No,Graduate,Yes,,Urban,Y
LP001790,Female,No,Graduate,No,1,Rural,Y
LP001792,Male,Yes,Graduate,No,1,Semiurban,Y
LP001798,Male,Yes,Graduate,No,1,Rural,Y
LP001800,Male,Yes,Not Graduate,No,1,Urban,N
LP001806,Male,No,Graduate,No,1,Urban,Y
LP001807,Male,Yes,Graduate,Yes,1,Rural,Y
LP001811,Male,Yes,Not Graduate,No,1,Semiurban,Y
LP001813,Male,No,Graduate,Yes,1,Urban,N
LP001814,Male,Yes,Graduate,No,1,Urban,Y
LP001819,Male,Yes,Not Graduate,No,1,Urban,Y
LP001824,Male,Yes,Graduate,No,1,Semiurban,Y
LP001825,Male,Yes,Graduate,No,1,Urban,Y
LP001835,Male,Yes,Not Graduate,No,0,Semiurban,N
LP001836,Female,No,Graduate,No,1,Urban,N
LP001841,Male,No,Not Graduate,Yes,1,Rural,Y
LP001843,Male,Yes,Not Graduate,No,1,Semiurban,Y
LP001844,Male,No,Graduate,Yes,0,Urban,N
LP001846,Female,No,Graduate,No,1,Rural,Y
LP001849,Male,No,Not Graduate,No,0,Rural,N
LP001854,Male,Yes,Graduate,No,1,Urban,N
LP001859,Male,Yes,Graduate,No,1,Rural,N
LP001864,Male,Yes,Not Graduate,No,,Semiurban,N
LP001865,Male,Yes,Graduate,No,,Urban,Y
LP001868,Male,No,Graduate,No,1,Semiurban,Y
LP001870,Female,No,Graduate,No,1,Semiurban,N
LP001871,Female,No,Graduate,No,1,Rural,Y
LP001872,Male,No,Graduate,Yes,1,Semiurban,Y
LP001875,Male,No,Graduate,No,1,Rural,Y
LP001877,Male,Yes,Graduate,No,1,Semiurban,Y
LP001882,Male,Yes,Graduate,No,0,Urban,Y
LP001883,Female,No,Graduate,,1,Rural,N
LP001884,Female,No,Graduate,No,1,Urban,Y
LP001888,Female,No,Graduate,No,1,Urban,Y
LP001891,Male,Yes,Graduate,No,1,Urban,Y
LP001892,Male,No,Graduate,No,1,Rural,Y
LP001894,Male,Yes,Graduate,No,1,Semiurban,Y
LP001896,Male,Yes,Graduate,No,1,Semiurban,Y
LP001900,Male,Yes,Graduate,No,1,Semiurban,Y
LP001903,Male,Yes,Graduate,No,1,Semiurban,Y
LP001904,Male,Yes,Graduate,No,1,Urban,Y
LP001907,Male,Yes,Graduate,No,1,Semiurban,Y
LP001908,Female,Yes,Not Graduate,No,,Rural,Y
LP001910,Male,No,Not Graduate,Yes,0,Urban,N
LP001914,Male,Yes,Graduate,No,1,Semiurban,Y
LP001915,Male,Yes,Graduate,No,1,Urban,Y
LP001917,Female,No,Graduate,No,1,Urban,Y
LP001922,Male,Yes,Graduate,No,1,Rural,N
LP001924,Male,No,Graduate,No,1,Rural,Y
LP001925,Female,No,Graduate,Yes,1,Semiurban,N
LP001926,Male,Yes,Graduate,No,1,Rural,Y
LP001931,Female,No,Graduate,No,1,Semiurban,Y
LP001935,Male,No,Graduate,No,1,Rural,Y
LP001936,Male,Yes,Graduate,No,1,Rural,Y
LP001938,Male,Yes,Graduate,No,0,Semiurban,N
LP001940,Male,Yes,Graduate,No,1,Urban,Y
LP001945,Female,No,Graduate,No,0,Urban,N
LP001947,Male,Yes,Graduate,No,1,Semiurban,Y
LP001949,Male,Yes,Graduate,,1,Urban,Y
LP001953,Male,Yes,Graduate,No,1,Semiurban,Y
LP001954,Female,Yes,Graduate,No,1,Urban,Y
LP001955,Female,No,Graduate,No,1,Rural,N
LP001963,Male,Yes,Graduate,No,1,Urban,N
LP001964,Male,Yes,Not Graduate,No,0,Urban,N
LP001972,Male,Yes,Not Graduate,No,1,Semiurban,Y
LP001974,Female,No,Graduate,No,1,Rural,Y
LP001977,Male,Yes,Graduate,No,1,Urban,Y
LP001978,Male,No,Graduate,No,1,Rural,Y
LP001990,Male,No,Not Graduate,No,1,Urban,N
LP001993,Female,No,Graduate,No,1,Rural,Y
LP001994,Female,No,Graduate,No,0,Urban,N
LP001996,Male,No,Graduate,No,1,Rural,N
LP001998,Male,Yes,Not Graduate,No,,Rural,Y
LP002002,Female,No,Graduate,No,1,Semiurban,Y
LP002004,Male,No,Not Graduate,No,1,Semiurban,Y
LP002006,Female,No,Graduate,No,1,Rural,Y
LP002008,Male,Yes,Graduate,Yes,,Rural,Y
LP002024,,Yes,Graduate,No,1,Rural,N
LP002031,Male,Yes,Not Graduate,No,1,Urban,Y
LP002035,Male,Yes,Graduate,No,1,Semiurban,Y
LP002036,Male,Yes,Graduate,No,,Urban,Y
LP002043,Female,No,Graduate,No,,Semiurban,Y
LP002050,Male,Yes,Graduate,Yes,1,Rural,N
LP002051,Male,Yes,Graduate,No,1,Semiurban,Y
LP002053,Male,Yes,Graduate,No,1,Semiurban,Y
LP002054,Male,Yes,Not Graduate,No,1,Rural,Y
LP002055,Female,No,Graduate,No,,Rural,Y
LP002065,Male,Yes,Graduate,No,1,Rural,Y
LP002067,Male,Yes,Graduate,Yes,0,Rural,N
LP002068,Male,No,Graduate,No,0,Rural,Y
LP002082,Male,Yes,Graduate,Yes,1,Semiurban,Y
LP002086,Female,Yes,Graduate,No,1,Urban,N
LP002087,Female,No,Graduate,No,1,Urban,Y
LP002097,Male,No,Graduate,No,1,Urban,Y
LP002098,Male,No,Graduate,No,1,Semiurban,Y
LP002100,Male,No,Graduate,No,1,Urban,Y
LP002101,Male,Yes,Graduate,,1,Urban,Y
LP002103,,Yes,Graduate,Yes,1,Urban,Y
LP002106,Male,Yes,Graduate,Yes,1,Semiurban,Y
LP002110,Male,Yes,Graduate,,1,Rural,Y
LP002112,Male,Yes,Graduate,Yes,1,Rural,Y
LP002113,Female,No,Not Graduate,No,0,Urban,N
LP002114,Female,No,Graduate,No,1,Semiurban,Y
LP002115,Male,Yes,Not Graduate,No,1,Rural,N
LP002116,Female,No,Graduate,No,1,Rural,N
LP002119,Male,Yes,Not Graduate,No,1,Urban,Y
LP002126,Male,Yes,Not Graduate,No,1,Semiurban,Y
LP002128,Male,Yes,Graduate,,1,Rural,Y
LP002129,Male,Yes,Graduate,No,1,Semiurban,Y
LP002130,Male,Yes,Not Graduate,No,0,Rural,N
LP002131,Male,Yes,Not Graduate,No,1,Urban,Y
LP002137,Male,Yes,Graduate,No,,Semiurban,Y
LP002138,Male,Yes,Graduate,No,1,Rural,Y
LP002139,Male,Yes,Graduate,No,1,Semiurban,Y
LP002140,Male,No,Graduate,No,1,Rural,N
LP002141,Male,Yes,Graduate,No,1,Rural,Y
LP002142,Female,Yes,Graduate,Yes,0,Rural,N
LP002143,Female,Yes,Graduate,No,1,Semiurban,Y
LP002144,Female,No,Graduate,No,1,Urban,Y
LP002149,Male,Yes,Graduate,No,1,Rural,Y
LP002151,Male,Yes,Graduate,No,1,Urban,N
LP002158,Male,Yes,Not Graduate,No,0,Urban,N
LP002160,Male,Yes,Graduate,No,1,Semiurban,Y
LP002161,Female,No,Graduate,No,1,Semiurban,N
LP002170,Male,Yes,Graduate,No,1,Semiurban,Y
LP002175,Male,Yes,Graduate,No,1,Urban,Y
LP002178,Male,Yes,Graduate,No,,Urban,Y
LP002180,Male,No,Graduate,Yes,1,Rural,Y
LP002181,Male,No,Not Graduate,No,1,Rural,N
LP002187,Male,No,Graduate,No,1,Semiurban,N
LP002188,Male,No,Graduate,No,0,Rural,N
LP002190,Male,Yes,Graduate,No,1,Semiurban,Y
LP002191,Male,Yes,Graduate,No,1,Rural,N
LP002194,Female,No,Graduate,Yes,1,Semiurban,Y
LP002197,Male,Yes,Graduate,No,1,Semiurban,Y
LP002201,Male,Yes,Graduate,Yes,1,Rural,Y
LP002205,Male,No,Graduate,No,0,Urban,N
LP002209,Female,No,Graduate,,1,Urban,Y
LP002211,Male,Yes,Graduate,No,1,Urban,Y
LP002219,Male,Yes,Graduate,No,1,Rural,Y
LP002223,Male,Yes,Graduate,No,,Semiurban,Y
LP002224,Male,No,Graduate,No,1,Urban,N
LP002225,Male,Yes,Graduate,No,1,Urban,Y
LP002226,Male,Yes,Graduate,,1,Semiurban,Y
LP002229,Male,No,Graduate,No,1,Semiurban,Y
LP002231,Female,No,Graduate,No,1,Urban,Y
LP002234,Male,No,Graduate,Yes,1,Urban,Y
LP002236,Male,Yes,Graduate,No,1,Urban,N
LP002237,Male,No,Graduate,,1,Urban,Y
LP002239,Male,No,Not Graduate,No,1,Semiurban,Y
LP002243,Male,Yes,Not Graduate,No,0,Urban,N
LP002244,Male,Yes,Graduate,No,1,Urban,Y
LP002250,Male,Yes,Graduate,No,1,Rural,Y
LP002255,Male,No,Graduate,No,1,Rural,Y
LP002262,Male,Yes,Graduate,No,1,Rural,Y
LP002263,Male,Yes,Graduate,No,,Urban,Y
LP002265,Male,Yes,Not Graduate,No,1,Semiurban,Y
LP002266,Male,Yes,Graduate,No,1,Urban,Y
LP002272,Male,Yes,Graduate,No,,Semiurban,Y
LP002277,Female,No,Graduate,No,0,Urban,N
LP002281,Male,Yes,Graduate,No,1,Urban,Y
LP002284,Male,No,Not Graduate,No,1,Rural,Y
LP002287,Female,No,Graduate,No,0,Semiurban,N
LP002288,Male,Yes,Not Graduate,No,0,Urban,N
LP002296,Male,No,Not Graduate,No,1,Rural,N
LP002297,Male,No,Graduate,No,1,Semiurban,Y
LP002300,Female,No,Not Graduate,No,1,Semiurban,Y
LP002301,Female,No,Graduate,Yes,1,Rural,N
LP002305,Female,No,Graduate,No,1,Semiurban,Y
LP002308,Male,Yes,Not Graduate,No,1,Urban,Y
LP002314,Female,No,Not Graduate,No,1,Rural,Y
LP002315,Male,Yes,Graduate,No,0,Semiurban,N
LP002317,Male,Yes,Graduate,No,0,Rural,N
LP002318,Female,No,Not Graduate,Yes,1,Semiurban,N
LP002319,Male,Yes,Graduate,,,Urban,Y
LP002328,Male,Yes,Not Graduate,No,0,Rural,N
LP002332,Male,Yes,Not Graduate,No,1,Rural,Y
LP002335,Female,Yes,Not Graduate,No,0,Semiurban,N
LP002337,Female,No,Graduate,No,1,Urban,Y
LP002341,Female,No,Graduate,No,1,Urban,N
LP002342,Male,Yes,Graduate,Yes,1,Urban,N
LP002345,Male,Yes,Graduate,No,1,Rural,Y
LP002347,Male,Yes,Graduate,No,1,Semiurban,Y
LP002348,Male,Yes,Graduate,No,1,Rural,Y
LP002357,Female,No,Not Graduate,No,0,Urban,N
LP002361,Male,Yes,Graduate,No,1,Urban,Y
LP002362,Male,Yes,Graduate,No,0,Urban,N
LP002364,Male,Yes,Graduate,No,1,Semiurban,Y
LP002366,Male,Yes,Graduate,No,1,Rural,Y
LP002367,Female,No,Not Graduate,No,1,Rural,N
LP002368,Male,Yes,Graduate,No,1,Semiurban,Y
LP002369,Male,Yes,Graduate,No,1,Rural,Y
LP002370,Male,No,Not Graduate,No,1,Urban,Y
LP002377,Female,No,Graduate,Yes,1,Semiurban,Y
LP002379,Male,No,Graduate,No,0,Rural,N
LP002386,Male,No,Graduate,,1,Semiurban,Y
LP002387,Male,Yes,Graduate,No,1,Semiurban,Y
LP002390,Male,No,Graduate,No,1,Urban,Y
LP002393,Female,,Graduate,No,1,Semiurban,Y
LP002398,Male,No,Graduate,No,1,Semiurban,Y
LP002401,Male,Yes,Graduate,No,1,Urban,Y
LP002403,Male,No,Graduate,Yes,0,Urban,N
LP002407,Female,Yes,Not Graduate,Yes,1,Rural,Y
LP002408,Male,No,Graduate,No,1,Semiurban,Y
LP002409,Male,Yes,Graduate,No,1,Rural,Y
LP002418,Male,No,Not Graduate,No,1,Semiurban,Y
LP002422,Male,No,Graduate,No,1,Semiurban,Y
LP002424,Male,Yes,Graduate,No,,Rural,Y
LP002429,Male,Yes,Graduate,Yes,1,Rural,Y
LP002434,Male,Yes,Not Graduate,No,1,Rural,Y
LP002435,Male,Yes,Graduate,,1,Rural,N
LP002443,Male,Yes,Graduate,No,0,Rural,N
LP002444,Male,No,Not Graduate,Yes,,Semiurban,N
LP002446,Male,Yes,Not Graduate,No,0,Rural,N
LP002447,Male,Yes,Not Graduate,No,,Urban,Y
LP002448,Male,Yes,Graduate,No,0,Rural,N
LP002449,Male,Yes,Graduate,No,0,Rural,Y
LP002453,Male,No,Graduate,Yes,1,Semiurban,Y
LP002455,Male,Yes,Graduate,No,1,Semiurban,Y
LP002459,Male,Yes,Graduate,No,1,Urban,Y
LP002467,Male,Yes,Graduate,No,1,Urban,N
LP002472,Male,No,Graduate,No,1,Rural,Y
LP002473,Male,Yes,Graduate,No,1,Semiurban,N
LP002478,,Yes,Graduate,Yes,,Semiurban,Y
LP002484,Male,Yes,Graduate,No,1,Urban,Y
LP002487,Male,Yes,Graduate,No,1,Rural,Y
LP002489,Female,No,Not Graduate,,1,Semiurban,Y
LP002493,Male,No,Graduate,No,0,Semiurban,N
LP002494,Male,No,Graduate,No,1,Rural,Y
LP002500,Male,Yes,Not Graduate,No,0,Urban,N
LP002501,,Yes,Graduate,No,1,Semiurban,Y
LP002502,Female,Yes,Not Graduate,,1,Semiurban,Y
LP002505,Male,Yes,Graduate,No,1,Urban,N
LP002515,Male,Yes,Graduate,Yes,1,Semiurban,Y
LP002517,Male,Yes,Not Graduate,No,0,Rural,N
LP002519,Male,Yes,Graduate,No,1,Semiurban,Y
LP002522,Female,No,Graduate,Yes,,Urban,Y
LP002524,Male,No,Graduate,No,1,Rural,Y
LP002527,Male,Yes,Graduate,Yes,1,Rural,Y
LP002529,Male,Yes,Graduate,No,1,Semiurban,Y
LP002530,,Yes,Graduate,No,0,Semiurban,N
LP002531,Male,Yes,Graduate,Yes,1,Semiurban,Y
LP002533,Male,Yes,Graduate,No,1,Urban,N
LP002534,Female,No,Not Graduate,No,1,Rural,Y
LP002536,Male,Yes,Not Graduate,No,1,Rural,Y
LP002537,Male,Yes,Graduate,No,1,Semiurban,Y
LP002541,Male,Yes,Graduate,No,1,Semiurban,Y
LP002543,Male,Yes,Graduate,No,1,Semiurban,Y
LP002544,Male,Yes,Not Graduate,No,1,Rural,Y
LP002545,Male,No,Graduate,No,0,Rural,N
LP002547,Male,Yes,Graduate,No,1,Urban,N
LP002555,Male,Yes,Graduate,Yes,1,Semiurban,Y
LP002556,Male,No,Graduate,No,1,Urban,N
LP002560,Male,No,Not Graduate,No,,Semiurban,Y
LP002562,Male,Yes,Not Graduate,No,,Urban,Y
