math_reading_score,treatment,BYHMWRK,BYS34B,BYWRTNGA,BYTSTREL,BYMATHSE,BYS35B,BYTEAQUA,BYENGLSE,BYS34A,BYS31G,BYS36B,BYINCOME,BYS31C,BYFATHED,BYS35A,F1SCH_ID,BYA37D,BYA37A,BYA37B,BYA37C
66.11,0,8.0,6.0,1.001,-0.033,1.296,1.0,-0.185,0.151,2.0,1.0,2.0,9,2.0,8.0,0.0,1022.0,1.0,1.0,1.0,2.0
53.96,0,6.0,4.0,0.052000000000000005,-0.41,0.33299999999999996,1.0,-0.541,-0.111,2.0,4.0,3.0,10,4.0,5.0,0.0,1022.0,1.0,1.0,1.0,2.0
33.79,0,9.0,5.0,-1.847,-0.598,-0.42,3.0,-0.835,-0.9329999999999999,4.0,2.0,2.0,9,2.0,8.0,4.0,1022.0,1.0,1.0,1.0,3.0
55.27,0,18.0,9.0,-0.13699999999999998,-0.033,-0.8690000000000001,1.0,0.324,0.585,9.0,2.0,1.0,9,2.0,4.0,1.0,1022.0,1.0,1.0,1.0,2.0
45.44,0,2.0,1.0,0.052000000000000005,0.521,-1.831,1.0,0.324,-1.187,1.0,3.0,1.0,11,4.0,6.0,1.0,1022.0,1.0,1.0,1.0,2.0
60.64,0,21.0,9.0,-0.898,-9.0,1.7719999999999998,2.0,-1.09,-0.11800000000000001,12.0,1.0,4.0,6,1.0,1.0,7.0,1022.0,1.0,1.0,1.0,2.0
47.87,0,8.0,3.0,-1.3840000000000001,-9.0,0.5710000000000001,1.0,-9.0,-9.0,5.0,3.0,3.0,6,3.0,2.0,1.0,1022.0,1.0,1.0,1.0,2.0
49.66,0,19.0,12.0,-1.847,1.985,0.5710000000000001,2.0,1.8619999999999999,0.331,7.0,4.0,2.0,9,3.0,1.0,0.0,1022.0,1.0,1.0,1.0,2.0
39.64,0,8.0,6.0,-0.63,-1.848,0.873,1.0,-1.383,0.7959999999999999,2.0,1.0,1.0,10,2.0,5.0,1.0,1022.0,1.0,1.0,1.0,2.0
52.56,0,3.0,0.0,0.131,-1.5490000000000002,0.36,0.0,-0.518,-1.383,3.0,1.0,0.0,11,1.0,6.0,1.0,1022.0,1.0,1.0,1.0,2.0
51.98,0,8.0,3.0,-0.405,1.055,0.5710000000000001,2.0,0.997,0.331,5.0,3.0,1.0,9,4.0,6.0,4.0,1031.0,2.0,3.0,3.0,2.0
51.0,0,11.0,10.0,0.052000000000000005,-1.2329999999999999,-9.0,4.0,-0.773,-9.0,1.0,1.0,5.0,8,1.0,2.0,4.0,1031.0,2.0,3.0,3.0,2.0
35.85,0,2.0,1.0,-1.847,-0.866,0.33299999999999996,2.0,-0.958,-0.387,1.0,2.0,1.0,6,2.0,2.0,2.0,1031.0,3.0,3.0,3.0,3.0
46.94,0,9.0,5.0,-1.195,-0.917,0.322,1.0,-0.773,0.078,4.0,4.0,8.0,10,4.0,6.0,1.0,1031.0,2.0,3.0,2.0,1.0
42.08,0,9.0,3.0,-4.0,-0.38,-0.9079999999999999,4.0,-0.672,0.078,6.0,3.0,6.0,7,2.0,2.0,8.0,1032.0,1.0,1.0,3.0,1.0
53.45,0,6.0,4.0,-4.0,-0.598,-0.14400000000000002,1.0,-1.09,-0.664,2.0,1.0,2.0,9,1.0,5.0,1.0,1032.0,2.0,3.0,3.0,2.0
46.22,0,18.0,10.0,1.2930000000000001,-2.5869999999999997,-0.381,11.0,-2.504,-0.9329999999999999,8.0,3.0,10.0,9,2.0,8.0,6.0,1032.0,3.0,2.0,3.0,2.0
45.89,0,4.0,2.0,-0.441,-1.153,-0.884,1.0,-1.09,-0.591,2.0,3.0,0.0,8,4.0,4.0,0.0,1032.0,1.0,2.0,2.0,1.0
51.68,0,2.0,1.0,-9.0,-0.033,-0.642,1.0,0.324,-0.111,1.0,2.0,1.0,10,4.0,1.0,1.0,1033.0,2.0,3.0,2.0,2.0
49.8,0,12.0,11.0,-4.0,-1.1320000000000001,-0.63,12.0,-1.507,1.219,1.0,3.0,4.0,11,2.0,1.0,1.0,1033.0,2.0,3.0,2.0,2.0
56.36,0,17.0,10.0,0.052000000000000005,-0.332,0.607,6.0,-0.541,-0.9329999999999999,7.0,1.0,3.0,2,1.0,1.0,5.0,1033.0,2.0,3.0,2.0,2.0
63.98,0,26.0,16.0,1.27,-0.588,-9.0,2.0,0.324,-9.0,10.0,2.0,6.0,5,3.0,1.0,5.0,1033.0,2.0,3.0,2.0,2.0
39.24,0,3.0,1.0,0.052000000000000005,1.163,-0.14400000000000002,2.0,1.484,-0.3720000000000001,2.0,3.0,2.0,4,3.0,4.0,2.0,1033.0,2.0,3.0,2.0,2.0
44.5,0,1.0,0.0,-0.6,-1.508,-9.0,6.0,-2.117,-9.0,1.0,3.0,0.0,9,3.0,4.0,1.0,1033.0,2.0,3.0,2.0,2.0
50.41,0,2.0,1.0,-0.6,-0.033,0.121,1.0,0.324,0.14300000000000002,1.0,2.0,0.0,10,3.0,2.0,1.0,1033.0,2.0,3.0,2.0,2.0
56.25,0,2.0,1.0,0.247,1.371,1.02,1.0,0.997,0.331,1.0,3.0,1.0,6,4.0,1.0,1.0,1033.0,2.0,3.0,2.0,2.0
49.61,0,35.0,21.0,-4.0,1.431,-9.0,7.0,1.607,-9.0,14.0,3.0,14.0,8,1.0,6.0,7.0,1041.0,2.0,3.0,3.0,1.0
31.91,0,2.0,1.0,-0.898,-0.064,-0.63,0.0,-0.672,-0.9329999999999999,1.0,3.0,1.0,9,3.0,2.0,0.0,1041.0,2.0,3.0,3.0,1.0
60.04,0,7.0,5.0,0.052000000000000005,-0.252,-1.621,0.0,-0.858,0.8540000000000001,2.0,1.0,1.0,11,2.0,5.0,1.0,1041.0,2.0,3.0,3.0,1.0
48.19,0,2.0,1.0,-1.847,-1.153,-0.63,4.0,-1.09,-0.9329999999999999,1.0,3.0,2.0,9,3.0,2.0,4.0,1041.0,2.0,3.0,3.0,1.0
54.21,0,3.0,2.0,-4.0,-0.033,-9.0,1.0,0.324,-9.0,1.0,1.0,0.0,11,3.0,5.0,1.0,1041.0,2.0,3.0,3.0,1.0
41.72,0,13.0,5.0,0.052000000000000005,-1.7209999999999999,-9.0,1.0,-2.4419999999999997,-9.0,8.0,1.0,4.0,12,1.0,7.0,2.0,1041.0,2.0,3.0,3.0,1.0
53.08,0,17.0,10.0,-0.441,-0.38,0.82,9.0,-0.163,1.146,7.0,3.0,1.0,12,3.0,4.0,8.0,1042.0,3.0,3.0,3.0,3.0
52.78,0,20.0,15.0,0.733,-0.648,-0.63,10.0,-0.28600000000000003,0.965,5.0,2.0,3.0,6,2.0,2.0,2.0,1042.0,3.0,3.0,3.0,3.0
43.87,0,35.0,26.0,-4.0,-0.598,1.5330000000000001,21.0,-0.835,1.4069999999999998,21.0,1.0,0.0,10,1.0,2.0,21.0,1042.0,3.0,3.0,3.0,3.0
60.44,0,10.0,7.0,0.7040000000000001,0.391,0.544,3.0,0.8109999999999999,-0.664,3.0,1.0,3.0,10,2.0,6.0,3.0,1042.0,3.0,3.0,3.0,3.0
62.73,0,6.0,1.0,-0.14300000000000002,0.521,1.7719999999999998,0.0,0.324,-0.9329999999999999,5.0,2.0,0.0,8,3.0,4.0,5.0,1042.0,3.0,3.0,3.0,3.0
61.88,0,18.0,15.0,1.9509999999999998,0.282,0.085,10.0,0.324,0.078,3.0,2.0,6.0,9,2.0,2.0,3.0,1042.0,3.0,3.0,3.0,3.0
56.57,0,4.0,3.0,0.052000000000000005,0.8370000000000001,-0.63,1.0,0.324,-0.9329999999999999,1.0,1.0,1.0,9,1.0,6.0,3.0,1042.0,3.0,3.0,3.0,3.0
58.32,0,11.0,7.0,1.9509999999999998,0.282,0.8079999999999999,4.0,0.324,-0.11800000000000001,4.0,2.0,2.0,12,1.0,6.0,1.0,1042.0,3.0,3.0,3.0,3.0
54.69,0,14.0,5.0,0.733,1.669,1.7719999999999998,1.0,1.8619999999999999,-0.11800000000000001,9.0,5.0,1.0,11,4.0,2.0,1.0,1042.0,3.0,3.0,3.0,3.0
45.18,0,5.0,3.0,-9.0,-0.8370000000000001,-0.381,1.0,-1.345,-2.197,2.0,2.0,1.0,11,4.0,2.0,6.0,1051.0,1.0,1.0,3.0,2.0
66.76,0,2.0,1.0,-9.0,0.205,-0.392,1.0,0.069,0.331,1.0,2.0,1.0,10,1.0,5.0,1.0,1051.0,1.0,2.0,2.0,2.0
52.62,0,7.0,2.0,-9.0,-0.648,0.82,1.0,-0.28600000000000003,-1.636,5.0,2.0,1.0,9,1.0,2.0,1.0,1051.0,1.0,1.0,3.0,2.0
53.52,0,-9.0,3.0,-9.0,-0.033,-0.857,0.0,0.069,-1.4140000000000001,1.0,2.0,1.0,12,3.0,6.0,2.0,1051.0,1.0,1.0,3.0,2.0
46.41,0,4.0,0.0,-1.195,-2.063,0.121,0.0,-2.627,-0.9329999999999999,4.0,2.0,0.0,4,3.0,2.0,3.0,1051.0,1.0,3.0,2.0,2.0
41.45,0,2.0,1.0,-1.006,-1.104,-1.382,1.0,-0.958,-2.197,1.0,3.0,1.0,9,3.0,2.0,1.0,1051.0,2.0,2.0,2.0,2.0
49.76,0,6.0,1.0,-9.0,-0.033,0.597,1.0,0.324,-1.6669999999999998,5.0,3.0,3.0,12,4.0,2.0,2.0,1051.0,1.0,2.0,2.0,2.0
65.96,0,8.0,3.0,0.052000000000000005,1.135,0.5710000000000001,0.0,0.68,0.331,5.0,1.0,1.0,12,1.0,6.0,2.0,1051.0,1.0,2.0,2.0,2.0
32.87,0,6.0,2.0,-1.087,-0.38,-0.63,1.0,-0.41700000000000004,-0.9329999999999999,4.0,3.0,2.0,7,4.0,2.0,1.0,1051.0,1.0,2.0,2.0,2.0
37.99,0,4.0,3.0,-9.0,-0.033,-1.317,1.0,0.324,-2.197,1.0,2.0,1.0,9,3.0,1.0,0.0,1051.0,1.0,1.0,3.0,2.0
37.46,0,3.0,0.0,-1.2819999999999998,-9.0,-9.0,0.0,-9.0,-9.0,3.0,1.0,0.0,4,2.0,2.0,0.0,1052.0,2.0,3.0,3.0,2.0
41.93,0,7.0,4.0,-0.14300000000000002,0.282,-9.0,2.0,0.324,0.331,3.0,2.0,2.0,8,2.0,4.0,1.0,1052.0,3.0,3.0,3.0,3.0
45.08,0,2.0,1.0,-0.898,1.055,0.083,1.0,1.252,-9.0,1.0,1.0,0.0,5,1.0,2.0,1.0,1052.0,2.0,3.0,3.0,3.0
42.52,0,21.0,1.0,-1.2819999999999998,-0.033,-9.0,1.0,0.324,-9.0,21.0,4.0,1.0,10,4.0,1.0,5.0,1052.0,2.0,2.0,3.0,2.0
58.24,0,4.0,3.0,1.464,-0.628,1.3219999999999998,1.0,-1.213,1.146,1.0,1.0,2.0,11,2.0,7.0,2.0,1061.0,1.0,1.0,1.0,1.0
44.82,0,1.0,0.0,-0.898,-0.914,-0.63,0.0,-1.09,-0.9329999999999999,1.0,2.0,6.0,11,4.0,4.0,0.0,1061.0,1.0,2.0,2.0,2.0
62.51,0,2.0,0.0,0.32,-0.648,1.7719999999999998,0.0,-0.541,1.146,2.0,1.0,0.0,11,2.0,2.0,1.0,1061.0,1.0,1.0,1.0,1.0
50.53,0,13.0,12.0,1.9509999999999998,-9.0,-9.0,0.0,-9.0,-9.0,1.0,2.0,2.0,9,3.0,6.0,1.0,1061.0,1.0,1.0,1.0,1.0
61.15,0,3.0,1.0,1.494,0.598,1.7719999999999998,0.0,0.069,-0.9329999999999999,2.0,3.0,1.0,7,4.0,2.0,1.0,1062.0,1.0,1.0,1.0,1.0
63.08,0,15.0,5.0,-0.898,0.282,1.7719999999999998,3.0,0.324,1.5959999999999999,10.0,4.0,0.0,5,4.0,2.0,0.0,1062.0,2.0,2.0,3.0,2.0
60.37,0,4.0,0.0,0.7040000000000001,-1.58,1.7719999999999998,6.0,-1.26,1.5959999999999999,4.0,2.0,0.0,11,4.0,2.0,5.0,1062.0,3.0,2.0,3.0,3.0
48.29,0,3.0,2.0,-1.093,-0.747,-9.0,1.0,0.023,-9.0,1.0,1.0,1.0,6,2.0,2.0,0.0,1062.0,2.0,2.0,3.0,2.0
62.55,0,27.0,20.0,0.406,-0.866,-9.0,1.0,-0.958,-9.0,7.0,1.0,9.0,9,2.0,5.0,3.0,1071.0,3.0,2.0,3.0,2.0
46.08,0,20.0,0.0,-1.166,-9.0,0.583,0.0,-9.0,-1.652,21.0,3.0,1.0,8,3.0,3.0,0.0,1071.0,3.0,3.0,3.0,3.0
52.12,0,2.0,1.0,-0.435,-0.38,-0.11599999999999999,0.0,-0.41700000000000004,-0.9329999999999999,1.0,1.0,1.0,9,4.0,6.0,1.0,1071.0,3.0,2.0,3.0,3.0
54.43,0,2.0,1.0,-0.435,-1.213,-1.831,0.0,-1.7,1.5959999999999999,1.0,1.0,1.0,9,1.0,2.0,0.0,1071.0,3.0,3.0,3.0,3.0
47.22,0,10.0,5.0,-0.13699999999999998,-0.648,-0.63,5.0,-0.541,-0.9329999999999999,5.0,4.0,5.0,5,4.0,2.0,5.0,1071.0,2.0,2.0,1.0,2.0
26.68,0,2.0,1.0,-1.55,-1.026,-0.63,0.0,-1.26,-0.9329999999999999,1.0,2.0,0.0,10,2.0,2.0,1.0,1071.0,3.0,3.0,3.0,3.0
29.42,0,15.0,0.0,-4.0,-3.1010000000000004,-1.831,0.0,-3.7239999999999998,-2.009,15.0,4.0,0.0,6,4.0,2.0,0.0,1071.0,2.0,2.0,2.0,2.0
44.69,0,4.0,0.0,-4.0,-9.0,-9.0,0.0,-9.0,-9.0,4.0,2.0,0.0,8,4.0,2.0,3.0,1071.0,2.0,2.0,1.0,2.0
59.59,0,3.0,1.0,-0.13699999999999998,0.282,0.7809999999999999,0.0,0.069,0.331,2.0,4.0,1.0,9,3.0,6.0,1.0,1071.0,2.0,2.0,2.0,3.0
52.25,0,2.0,1.0,-0.13699999999999998,-1.213,-1.5659999999999998,0.0,-1.7,0.331,1.0,3.0,1.0,9,3.0,2.0,0.0,1071.0,1.0,1.0,1.0,1.0
46.45,0,2.0,1.0,-4.0,-1.182,-9.0,1.0,-1.213,-1.194,1.0,2.0,1.0,8,2.0,2.0,1.0,1071.0,3.0,2.0,3.0,2.0
63.61,0,15.0,0.0,-0.14300000000000002,0.521,-1.133,2.0,0.069,-9.0,15.0,2.0,0.0,9,3.0,4.0,7.0,1072.0,1.0,1.0,1.0,1.0
45.3,0,5.0,2.0,-1.087,-0.033,1.7719999999999998,2.0,0.069,1.5959999999999999,3.0,4.0,0.0,4,4.0,2.0,3.0,1072.0,1.0,1.0,1.0,1.0
30.09,0,2.0,1.0,-1.361,0.521,1.7719999999999998,1.0,0.069,1.5959999999999999,1.0,4.0,1.0,8,3.0,3.0,1.0,1072.0,1.0,1.0,1.0,1.0
36.14,0,0.0,0.0,-0.63,-0.033,-1.382,0.0,0.324,-2.009,0.0,4.0,0.0,5,3.0,3.0,0.0,1072.0,1.0,1.0,1.0,1.0
35.54,0,5.0,0.0,-1.579,-0.914,-9.0,0.0,-1.345,-9.0,5.0,2.0,5.0,9,2.0,4.0,8.0,1072.0,1.0,1.0,1.0,1.0
36.39,0,10.0,10.0,-1.579,-1.5290000000000001,-0.63,0.0,-1.7,-0.9329999999999999,0.0,1.0,0.0,8,1.0,2.0,0.0,1072.0,1.0,1.0,1.0,1.0
57.89,0,1.0,0.0,-9.0,-9.0,-9.0,0.0,-9.0,-9.0,1.0,1.0,0.0,6,1.0,2.0,0.0,1072.0,1.0,1.0,1.0,1.0
41.69,0,1.0,0.0,-1.087,-0.033,-0.18100000000000002,0.0,0.069,-0.68,1.0,2.0,0.0,9,3.0,2.0,1.0,1072.0,1.0,1.0,1.0,1.0
45.83,0,4.0,0.0,0.052000000000000005,-2.063,-0.42,1.0,-2.627,-0.9329999999999999,4.0,3.0,1.0,12,4.0,5.0,5.0,1072.0,1.0,1.0,1.0,1.0
37.17,0,1.0,0.0,-0.898,-2.964,-0.128,0.0,-2.859,0.078,1.0,3.0,0.0,9,3.0,2.0,0.0,1072.0,1.0,1.0,1.0,1.0
50.6,0,30.0,25.0,-4.0,0.282,-0.11599999999999999,6.0,0.579,-0.664,5.0,4.0,3.0,11,4.0,7.0,2.0,1081.0,3.0,2.0,3.0,3.0
74.36,0,18.0,18.0,1.1909999999999998,0.581,1.561,4.0,0.934,0.585,0.0,4.0,2.0,9,4.0,8.0,0.0,1081.0,1.0,2.0,1.0,3.0
55.39,0,3.0,2.0,-4.0,-0.252,-0.63,1.0,-0.348,-1.636,1.0,2.0,1.0,13,3.0,7.0,0.0,1081.0,1.0,2.0,3.0,1.0
61.8,0,17.0,15.0,1.494,0.816,0.095,3.0,0.997,-0.23,2.0,2.0,8.0,9,2.0,6.0,0.0,1081.0,1.0,1.0,1.0,1.0
66.52,0,29.0,26.0,-4.0,0.521,1.561,0.0,0.579,-1.74,5.0,2.0,5.0,12,4.0,8.0,5.0,1081.0,1.0,2.0,2.0,1.0
61.89,0,10.0,5.0,-4.0,1.778,-9.0,1.0,2.349,1.4069999999999998,5.0,3.0,2.0,12,4.0,6.0,5.0,1081.0,1.0,1.0,3.0,2.0
59.26,0,25.0,22.0,-4.0,-0.033,0.5710000000000001,5.0,0.324,-0.9329999999999999,3.0,2.0,3.0,10,3.0,8.0,1.0,1081.0,1.0,1.0,1.0,2.0
75.55,0,12.0,10.0,-4.0,0.282,0.095,5.0,0.324,1.5959999999999999,2.0,2.0,1.0,12,4.0,8.0,0.0,1081.0,1.0,1.0,1.0,2.0
55.17,0,6.0,3.0,0.052000000000000005,0.521,0.5710000000000001,2.0,0.324,0.331,3.0,1.0,2.0,11,1.0,4.0,2.0,1082.0,3.0,2.0,3.0,3.0
55.04,0,4.0,0.0,-0.21600000000000005,1.7469999999999999,-9.0,0.0,1.8619999999999999,-9.0,4.0,4.0,0.0,8,3.0,4.0,1.0,1082.0,2.0,3.0,3.0,2.0
62.31,0,3.0,1.0,-4.0,0.282,-0.11599999999999999,2.0,0.324,-0.41,2.0,2.0,1.0,10,4.0,4.0,0.0,1082.0,3.0,2.0,3.0,3.0
51.91,0,3.0,1.0,-0.14300000000000002,-0.349,0.36,1.0,0.069,0.5920000000000001,2.0,1.0,1.0,11,1.0,2.0,1.0,1082.0,3.0,2.0,3.0,3.0
52.19,0,2.0,1.0,-4.0,-0.619,-9.0,1.0,-0.163,-2.009,1.0,3.0,0.0,7,3.0,4.0,1.0,1082.0,1.0,2.0,2.0,2.0
59.93,0,3.0,1.0,0.052000000000000005,-9.0,0.36,1.0,-9.0,-0.9329999999999999,2.0,1.0,0.0,10,1.0,6.0,1.0,1082.0,3.0,2.0,3.0,3.0
69.31,0,2.0,1.0,-4.0,0.282,0.5710000000000001,0.0,0.324,0.331,1.0,4.0,0.0,12,4.0,4.0,1.0,1082.0,3.0,2.0,3.0,3.0
49.11,0,11.0,10.0,1.001,-0.033,-0.63,5.0,0.324,-0.9329999999999999,1.0,1.0,2.0,9,3.0,3.0,2.0,1091.0,2.0,2.0,2.0,2.0
44.95,0,3.0,2.0,0.052000000000000005,-3.47,-9.0,1.0,-9.0,-9.0,1.0,1.0,1.0,9,1.0,2.0,1.0,1091.0,1.0,2.0,2.0,1.0
65.57,0,13.0,10.0,0.7040000000000001,0.816,0.5710000000000001,5.0,0.742,-0.9329999999999999,3.0,1.0,3.0,10,1.0,7.0,1.0,1091.0,2.0,2.0,2.0,1.0
58.4,0,6.0,5.0,-9.0,-0.064,1.085,2.0,-0.163,0.331,1.0,2.0,1.0,8,3.0,2.0,1.0,1091.0,3.0,2.0,3.0,2.0
47.81,0,3.0,2.0,-9.0,-0.033,0.322,4.0,0.324,0.41200000000000003,1.0,3.0,1.0,10,1.0,2.0,1.0,1091.0,2.0,2.0,2.0,1.0
58.56,0,10.0,9.0,1.756,-0.866,0.8740000000000001,2.0,-0.958,1.4069999999999998,1.0,1.0,3.0,10,2.0,2.0,1.0,1091.0,1.0,1.0,1.0,1.0
54.26,0,5.0,3.0,1.27,-1.4509999999999998,-0.171,1.0,-1.7,0.135,2.0,4.0,1.0,9,4.0,1.0,1.0,1091.0,2.0,2.0,3.0,2.0
61.4,0,15.0,15.0,-4.0,-0.033,1.5230000000000001,3.0,0.579,-0.664,0.0,2.0,1.0,11,4.0,6.0,2.0,1092.0,2.0,3.0,3.0,2.0
52.07,0,4.0,4.0,0.052000000000000005,-0.033,-9.0,0.0,0.324,0.893,0.0,1.0,2.0,8,1.0,2.0,1.0,1092.0,3.0,2.0,3.0,3.0
61.78,0,6.0,4.0,-4.0,0.598,-0.11599999999999999,2.0,0.579,0.07,2.0,2.0,1.0,11,2.0,3.0,1.0,1092.0,2.0,2.0,2.0,2.0
55.03,0,2.0,1.0,-0.903,0.205,-9.0,5.0,0.324,-9.0,1.0,1.0,4.0,12,1.0,6.0,3.0,1092.0,2.0,2.0,2.0,2.0
39.23,0,4.0,1.0,-1.847,-2.728,-0.8690000000000001,1.0,-2.7969999999999997,-1.936,3.0,1.0,1.0,9,5.0,6.0,1.0,1092.0,1.0,2.0,2.0,2.0
62.2,0,5.0,1.0,-4.0,-0.38,1.7719999999999998,0.0,-0.163,0.039,4.0,1.0,0.0,6,1.0,2.0,3.0,1092.0,2.0,2.0,2.0,2.0
52.8,0,4.0,1.0,0.32,-0.033,-1.078,0.0,0.324,-1.225,3.0,1.0,0.0,12,3.0,6.0,2.0,1092.0,2.0,2.0,2.0,1.0
47.09,0,2.0,1.0,-0.898,-1.182,-0.392,2.0,-0.958,-1.4480000000000002,1.0,1.0,1.0,11,5.0,5.0,2.0,1092.0,2.0,2.0,2.0,2.0
52.6,0,19.0,16.0,0.052000000000000005,-9.0,-9.0,4.0,0.324,0.07,3.0,1.0,1.0,8,3.0,2.0,1.0,1101.0,1.0,1.0,1.0,1.0
71.17,0,11.0,9.0,1.275,1.401,0.836,5.0,1.484,1.5959999999999999,2.0,1.0,2.0,10,2.0,2.0,1.0,1101.0,1.0,1.0,1.0,1.0
63.64,0,3.0,1.0,0.812,0.282,0.5710000000000001,1.0,0.324,0.14300000000000002,2.0,1.0,0.0,12,1.0,6.0,2.0,1101.0,1.0,1.0,1.0,1.0
60.25,0,9.0,7.0,1.001,-0.648,0.5710000000000001,3.0,-0.28600000000000003,0.877,2.0,1.0,1.0,12,2.0,6.0,1.0,1101.0,1.0,1.0,1.0,1.0
64.62,0,3.0,1.0,1.22,-0.033,0.332,1.0,0.069,-0.483,2.0,2.0,1.0,9,2.0,2.0,1.0,1101.0,1.0,1.0,1.0,1.0
69.63,0,20.0,18.0,1.001,0.205,-0.63,6.0,0.069,1.5959999999999999,2.0,1.0,4.0,13,2.0,6.0,0.0,1101.0,1.0,1.0,1.0,1.0
53.72,0,4.0,1.0,-0.332,0.282,-9.0,0.0,0.069,-0.6409999999999999,3.0,3.0,1.0,12,4.0,6.0,3.0,1101.0,1.0,1.0,1.0,1.0
44.67,0,14.0,10.0,-0.332,-0.332,-0.183,2.0,-0.541,-0.491,4.0,2.0,2.0,12,4.0,2.0,1.0,1101.0,1.0,1.0,1.0,1.0
61.11,0,33.0,18.0,-0.405,-0.016,-0.381,0.0,-0.28600000000000003,-2.197,21.0,3.0,2.0,9,4.0,5.0,1.0,1102.0,1.0,1.0,1.0,1.0
46.82,0,2.0,1.0,0.052000000000000005,-0.332,-0.63,1.0,-0.28600000000000003,-0.9329999999999999,1.0,1.0,1.0,9,1.0,1.0,1.0,1102.0,1.0,2.0,2.0,2.0
57.24,0,5.0,3.0,0.052000000000000005,1.055,0.5710000000000001,2.0,0.997,0.331,2.0,3.0,1.0,12,4.0,6.0,1.0,1102.0,3.0,2.0,3.0,3.0
42.19,0,10.0,0.0,-0.332,1.1320000000000001,-1.831,3.0,0.997,-1.421,10.0,3.0,1.0,11,3.0,3.0,2.0,1102.0,1.0,1.0,1.0,1.0
55.86,0,12.0,10.0,-4.0,0.521,0.121,1.0,0.324,0.14300000000000002,2.0,1.0,0.0,12,1.0,6.0,1.0,1102.0,1.0,3.0,2.0,2.0
56.6,0,13.0,12.0,1.9509999999999998,-0.174,1.295,1.0,-0.348,1.5959999999999999,1.0,2.0,8.0,12,2.0,8.0,2.0,1102.0,1.0,1.0,1.0,1.0
57.02,0,18.0,18.0,-4.0,0.205,1.5330000000000001,2.0,0.324,1.1540000000000001,0.0,1.0,1.0,12,1.0,6.0,0.0,1102.0,1.0,2.0,2.0,2.0
69.34,0,10.0,10.0,1.9509999999999998,0.282,1.7719999999999998,2.0,0.069,1.5959999999999999,0.0,2.0,1.0,11,2.0,7.0,0.0,1111.0,3.0,2.0,3.0,3.0
54.35,0,6.0,4.0,-0.703,-0.894,-9.0,3.0,-1.7619999999999998,-2.009,2.0,2.0,0.0,8,3.0,5.0,2.0,1111.0,1.0,2.0,2.0,2.0
48.41,0,24.0,16.0,-4.0,-9.0,-9.0,8.0,-9.0,1.4069999999999998,8.0,2.0,10.0,7,3.0,8.0,6.0,1111.0,3.0,2.0,3.0,3.0
68.85,0,12.0,10.0,0.807,0.205,0.5710000000000001,2.0,0.579,0.846,2.0,3.0,3.0,10,4.0,2.0,0.0,1112.0,2.0,3.0,3.0,3.0
